haskell-statevar 1.1.0.4-5
haskell-stm 2.4.4.1-6
haskell-stm-chans 3.0.0.4-7
haskell-store 0.4.3.2-9
haskell-store-core 0.4.1-5
haskell-streaming-commons 0.1.18-4
haskell-syb 0.7-3
haskell-system-fileio 0.3.16.3-5
haskell-system-filepath 0.4.13.4-5
haskell-tagged 0.8.5-4
haskell-tar 0.5.0.3-5
haskell-temporary 1.2.1.1-3
haskell-text 1.2.2.2-4
haskell-text-binary 0.2.1.1-5
haskell-text-metrics 0.3.0-2
haskell-tf-random 0.5-13
haskell-th-abstraction 0.2.6.0-2
haskell-th-expand-syns 0.4.3.0-5
haskell-th-lift 0.7.7-4
haskell-th-lift-instances 0.1.11-7
haskell-th-orphans 0.13.4-4
haskell-th-reify-many 0.1.8-4
haskell-th-utilities 0.2.0.1-20
haskell-time-locale-compat 0.1.1.3-4
haskell-tls 1.4.0-8
haskell-transformers-base 0.4.4-8
haskell-transformers-compat 0.5.1.4-6
haskell-unexceptionalio 0.3.0-5
haskell-unicode-transforms 0.3.3-2
haskell-unix-compat 0.4.3.1-4
haskell-unix-time 0.3.7-4
haskell-unliftio 0.1.0.0-7
haskell-unliftio-core 0.1.0.0-2
haskell-unordered-containers 0.2.8.0-7
haskell-uri-bytestring 0.2.3.3-10
haskell-utf8-string 1.0.1.1-5
haskell-uuid-types 1.0.3-9
haskell-vector 0.12.0.1-4
haskell-vector-algorithms 0.7.0.1-9
haskell-vector-binary-instances 0.2.3.5-4
haskell-vector-th-unbox 0.2.1.6-6
haskell-void 0.7.2-4
haskell-x509 1.7.2-7
haskell-x509-store 1.6.5-7
haskell-x509-system 1.6.6-7
haskell-x509-validation 1.6.9-7
haskell-yaml 0.8.23.3-10
haskell-zip-archive 0.3.1.1-3
haskell-zlib 0.6.1.2-4
haskell-zlib-bindings 0.1.1.5-5
hdf5 1.10.1-1
hicolor-icon-theme 0.15-1
hspell 1.3-1
htop 2.0.2-2
http-parser 2.7.1-1
hugo 0.30.2-1
hunspell 1.6.2-1
hwids 20170715-1
hyphen 2.8.8-1
i3-gaps 4.13-2
i3blocks 1.4-6
i3lock 2.9.1-2
i3lock-fancy-git r112.fe7fe47-1
i3status 2.11-3
iana-etc 20170824-1
icu 59.1-2
ilmbase 2.2.0-2
imagemagick 6.9.9.20-1
imlib2 1.4.10-1
inetutils 1.9.4-5
inkscape 0.92.2-5
inputproto 2.3.2-1
intel-ucode 20170707-1
iproute2 4.13.0-1
iptables 1.6.1-1
iputils 20161105.1f2bb12-2
iso-codes 3.75-1
iw 4.9-1
jack 0.125.0-3
jansson 2.10-2
jasper 2.0.14-1
java-runtime-common 3-1
jbig2dec 0.13-1
jemalloc 1:5.0.1-3
jfsutils 1.1.15-4
jq 1.5-5
jre8-openjdk 8.u144-1
jre8-openjdk-headless 8.u144-1
js 24.2.0-4
json-glib 1.4.2-1
jsoncpp 1.8.1-1
kactivities 5.39.0-1
karchive 5.39.0-1
kauth 5.39.0-1
kbd 2.0.4-1
kbookmarks 5.39.0-1
kbproto 1.0.7-1
kcmutils 5.39.0-1
kcodecs 5.39.0-1
kcompletion 5.39.0-1
kconfig 5.39.0-1
kconfigwidgets 5.39.0-1
kcoreaddons 5.39.0-1
kcrash 5.39.0-1
kdbusaddons 5.39.0-1
kdeclarative 5.39.0-1
kded 5.39.0-1
kdelibs4support 5.39.0-1
kdnssd 5.39.0-1
kemoticons 5.39.0-1
keyutils 1.5.10-1
kfilemetadata 5.39.0-1
kglobalaccel 5.39.0-1
kguiaddons 5.39.0-1
khtml 5.39.0-1
ki18n 5.39.0-1
kiconthemes 5.39.0-1
kidletime 5.39.0-1
kinit 5.39.0-1
kio 5.39.0-1
kio-extras 17.08.2-1
kitemmodels 5.39.0-1
kitemviews 5.39.0-1
kjobwidgets 5.39.0-1
kjs 5.39.0-1
kmod 24-1
knewstuff 5.39.0-1
knotifications 5.39.0-1
kpackage 5.39.0-1
kparts 5.39.0-1
kpty 5.39.0-1
krb5 1.15.2-1
kservice 5.39.0-1
ktextwidgets 5.39.0-1
kuiserver 5.11.1-1
kunitconversion 5.39.0-1
kwallet 5.39.0-1
kwidgetsaddons 5.39.0-1
kwindowsystem 5.39.0-1
kxmlgui 5.39.0-1
lame 3.100-1
lcms 1.19-5
lcms2 2.8-2
